ticket_id,model,lokasyon_tipi,musteri_memnun,siparis_suresi_dk,masa_sayisi
T0107,Sube_A,sanayi,evet,12,8
T0108,Sube_A,sanayi,evet,12,11
T0109,Sube_B,avm,evet,10,21
T0110,Sube_B,avm,evet,10,24
T0111,Sube_A,sanayi,hayir,9,13
T0112,Sube_A,sanayi,hayir,13,14
T0113,Sube_B,avm,evet,13,23
T0114,Sube_B,sanayi,evet,9,16
T0115,Sube_A,sanayi,hayir,14,14
T0116,Sube_B,sanayi,hayir,9,12
T0117,Sube_A,sanayi,hayir,12,15
T0118,Sube_A,sanayi,hayir,9,10
T0119,Sube_B,avm,hayir,9,36
T0120,Sube_B,avm,evet,13,27
T0121,Sube_A,sanayi,evet,12,12
T0122,Sube_B,avm,evet,11,20
T0123,Sube_A,sanayi,hayir,11,20
T0124,Sube_A,avm,evet,9,20
T0125,Sube_B,avm,hayir,9,30
T0126,Sube_B,avm,evet,15,35
T0127,Sube_A,sanayi,evet,13,12
T0128,Sube_A,sanayi,hayir,13,8
T0129,Sube_A,sanayi,hayir,10,13
T0130,Sube_B,avm,evet,11,36
T0131,Sube_A,sanayi,evet,8,10
T0132,Sube_A,sanayi,evet,11,20
T0133,Sube_B,avm,evet,8,26
T0134,Sube_B,avm,evet,13,28
T0135,Sube_B,sanayi,hayir,13,8
T0136,Sube_A,sanayi,hayir,15,11
T0137,Sube_A,sanayi,evet,10,15
T0138,Sube_A,sanayi,hayir,14,15
T0139,Sube_A,avm,evet,13,21
T0140,Sube_A,sanayi,hayir,14,8
T0141,Sube_B,avm,hayir,10,28
T0142,Sube_B,avm,evet,15,37
T0143,Sube_A,sanayi,hayir,10,8
T0144,Sube_A,avm,evet,11,24
T0145,Sube_B,avm,evet,8,29
T0146,Sube_B,sanayi,hayir,8,11
T0147,Sube_A,sanayi,evet,13,8
T0148,Sube_B,sanayi,hayir,15,11
T0149,Sube_B,avm,evet,15,31
T0150,Sube_B,avm,evet,12,38
T0151,Sube_A,sanayi,evet,13,17
T0152,Sube_B,avm,evet,13,23
T0153,Sube_A,sanayi,hayir,11,16
T0154,Sube_A,sanayi,hayir,9,10
T0155,Sube_B,avm,evet,15,33
T0156,Sube_B,sanayi,evet,8,18
T0157,Sube_B,avm,evet,12,32
T0158,Sube_B,sanayi,evet,8,14
T0159,Sube_B,sanayi,hayir,11,17
T0160,Sube_B,avm,evet,10,24
T0161,Sube_A,avm,evet,13,25
T0162,Sube_A,sanayi,hayir,9,9
T0163,Sube_B,avm,evet,14,28
T0164,Sube_A,sanayi,evet,12,11
T0165,Sube_A,sanayi,hayir,8,9
T0166,Sube_B,avm,evet,11,40
T0167,Sube_B,avm,evet,9,25
T0168,Sube_A,sanayi,hayir,11,18
T0169,Sube_B,avm,evet,14,26
T0170,Sube_B,avm,evet,13,26
T0171,Sube_A,sanayi,evet,13,18
T0172,Sube_B,avm,evet,13,29
T0173,Sube_A,avm,evet,12,24
T0174,Sube_A,sanayi,hayir,14,13
T0175,Sube_B,avm,evet,9,30
T0176,Sube_B,avm,evet,13,31
T0177,Sube_B,avm,evet,8,37
T0178,Sube_A,sanayi,hayir,13,16
T0179,Sube_A,sanayi,evet,10,14
T0180,Sube_A,avm,evet,11,21
T0181,Sube_B,avm,evet,12,33
T0182,Sube_A,sanayi,hayir,9,20
T0183,Sube_B,sanayi,hayir,14,16
T0184,Sube_B,avm,evet,8,33
T0185,Sube_B,avm,hayir,13,40
T0186,Sube_A,sanayi,hayir,10,13
T0187,Sube_B,avm,evet,14,39
T0188,Sube_B,avm,hayir,12,21
T0189,Sube_A,sanayi,evet,11,11
T0190,Sube_B,avm,evet,14,30
T0191,Sube_A,sanayi,hayir,13,15
T0192,Sube_B,avm,evet,10,36
T0193,Sube_A,sanayi,hayir,15,16
T0194,Sube_A,sanayi,hayir,9,19
T0195,Sube_B,avm,evet,14,37
T0196,Sube_A,sanayi,hayir,9,17
T0197,Sube_A,sanayi,evet,8,12
T0198,Sube_A,sanayi,hayir,15,14
T0199,Sube_A,sanayi,hayir,11,19
T0200,Sube_B,sanayi,evet,14,11
T0201,Sube_B,avm,evet,15,39
T0202,Sube_B,avm,evet,15,30
T0203,Sube_A,sanayi,evet,13,19
T0204,Sube_A,sanayi,hayir,13,18
T0205,Sube_A,sanayi,evet,12,13
T0206,Sube_A,avm,evet,12,32
T0207,Sube_B,avm,evet,9,33
T0208,Sube_A,sanayi,evet,13,20
T0209,Sube_B,avm,evet,11,38
T0210,Sube_B,avm,evet,13,35
T0211,Sube_A,sanayi,evet,10,9
T0212,Sube_B,avm,evet,12,20
T0213,Sube_A,sanayi,hayir,14,20
T0214,Sube_B,sanayi,hayir,11,13
T0215,Sube_A,sanayi,hayir,15,12
T0216,Sube_B,avm,evet,12,31
T0217,Sube_B,avm,hayir,10,35
T0218,Sube_A,sanayi,hayir,11,20
T0219,Sube_B,avm,evet,15,22
T0220,Sube_A,sanayi,evet,15,16
T0221,Sube_B,avm,evet,9,33
T0222,Sube_A,sanayi,evet,13,11
T0223,Sube_A,sanayi,evet,9,9
T0224,Sube_A,avm,evet,8,26
T0225,Sube_A,avm,hayir,15,38
T0226,Sube_B,avm,evet,12,39
T0227,Sube_B,sanayi,hayir,10,12
T0228,Sube_B,avm,evet,8,32
T0229,Sube_B,avm,evet,13,29
T0230,Sube_B,avm,evet,14,24
T0231,Sube_A,sanayi,evet,9,10
T0232,Sube_A,sanayi,hayir,10,10
T0233,Sube_A,sanayi,hayir,13,13
T0234,Sube_B,avm,evet,9,20
T0235,Sube_B,avm,evet,10,24
T0236,Sube_A,sanayi,evet,10,10
T0237,Sube_B,sanayi,hayir,8,8
T0238,Sube_B,avm,evet,12,35
T0239,Sube_B,avm,evet,8,30
T0240,Sube_B,avm,evet,11,21
T0241,Sube_A,sanayi,hayir,8,15
T0242,Sube_B,sanayi,evet,14,15
T0243,Sube_A,avm,evet,13,36
T0244,Sube_B,avm,evet,13,20
T0245,Sube_A,avm,evet,12,22
T0246,Sube_B,sanayi,evet,9,12
T0247,Sube_B,avm,evet,13,25
T0248,Sube_A,sanayi,hayir,8,9
T0249,Sube_A,avm,evet,13,39
T0250,Sube_B,sanayi,hayir,12,13
T0251,Sube_A,sanayi,evet,11,19
T0252,Sube_A,sanayi,hayir,8,9
T0253,Sube_A,sanayi,hayir,13,19
T0254,Sube_B,avm,hayir,10,39
T0255,Sube_B,avm,evet,8,40
T0256,Sube_A,sanayi,evet,14,14
T0257,Sube_A,sanayi,hayir,11,14
T0258,Sube_A,sanayi,hayir,11,10
T0259,Sube_B,avm,evet,13,23
T0260,Sube_A,sanayi,evet,11,13
T0261,Sube_A,sanayi,hayir,11,20
T0262,Sube_B,avm,evet,15,37
T0263,Sube_A,sanayi,hayir,10,10
T0264,Sube_A,sanayi,evet,14,18
T0265,Sube_B,avm,evet,8,21
T0266,Sube_A,sanayi,evet,11,13
T0267,Sube_B,avm,evet,10,25
T0268,Sube_A,sanayi,evet,13,19
T0269,Sube_A,sanayi,hayir,15,18
T0270,Sube_A,sanayi,evet,9,16
T0271,Sube_A,sanayi,hayir,12,14
T0272,Sube_A,sanayi,hayir,13,13
T0273,Sube_A,sanayi,hayir,15,14
T0274,Sube_B,avm,evet,9,34
T0275,Sube_B,avm,evet,15,34
T0276,Sube_B,sanayi,evet,14,19
T0277,Sube_B,avm,hayir,9,27
T0278,Sube_B,avm,evet,14,20
T0279,Sube_A,sanayi,evet,15,9
T0280,Sube_A,sanayi,evet,8,14
T0281,Sube_A,sanayi,evet,11,8
T0282,Sube_A,sanayi,hayir,13,11
T0283,Sube_B,avm,evet,11,30
T0284,Sube_A,sanayi,evet,9,18
T0285,Sube_A,sanayi,evet,13,15
T0286,Sube_A,sanayi,evet,13,14
T0287,Sube_B,avm,evet,9,33
T0288,Sube_A,sanayi,evet,13,12
T0289,Sube_A,sanayi,hayir,14,13
T0290,Sube_B,avm,evet,11,40
T0291,Sube_A,sanayi,evet,13,16
T0292,Sube_A,avm,evet,14,22
T0293,Sube_A,avm,hayir,11,36
T0294,Sube_B,avm,evet,15,30
T0295,Sube_A,sanayi,hayir,10,18
T0296,Sube_A,avm,evet,11,22
T0297,Sube_B,avm,evet,10,35
T0298,Sube_A,avm,evet,14,24
T0299,Sube_B,avm,evet,14,28
T0300,Sube_A,sanayi,evet,9,16
T0301,Sube_B,sanayi,hayir,11,9
T0302,Sube_A,avm,evet,13,35
T0303,Sube_B,avm,evet,13,35
T0304,Sube_B,avm,evet,15,40
T0305,Sube_A,sanayi,hayir,13,10
T0306,Sube_A,sanayi,hayir,8,18
T0307,Sube_B,sanayi,hayir,15,11
T0308,Sube_B,avm,evet,15,29
T0309,Sube_B,avm,evet,9,28
T0310,Sube_A,avm,evet,11,30
T0311,Sube_B,avm,evet,8,38
T0312,Sube_B,avm,evet,9,24
T0313,Sube_B,sanayi,evet,11,11
T0314,Sube_A,sanayi,hayir,13,9
T0315,Sube_A,sanayi,evet,10,10
T0316,Sube_B,sanayi,hayir,12,15
T0317,Sube_B,avm,evet,8,29
T0318,Sube_B,avm,evet,13,37
T0319,Sube_B,sanayi,evet,13,10
T0320,Sube_A,sanayi,hayir,8,19
T0321,Sube_A,sanayi,hayir,13,8
T0322,Sube_B,avm,evet,9,25
T0323,Sube_B,avm,evet,14,35
T0324,Sube_A,sanayi,hayir,9,13
T0325,Sube_A,sanayi,evet,10,13
T0326,Sube_A,sanayi,evet,14,18
T0327,Sube_B,sanayi,hayir,14,8
T0328,Sube_A,avm,evet,8,34
T0329,Sube_A,sanayi,hayir,15,11
T0330,Sube_A,sanayi,hayir,10,20
T0331,Sube_A,sanayi,evet,15,16
T0332,Sube_B,avm,evet,9,36
T0333,Sube_A,sanayi,hayir,8,14
T0334,Sube_B,sanayi,evet,15,18
T0335,Sube_B,sanayi,hayir,9,16
T0336,Sube_B,sanayi,hayir,9,11
T0337,Sube_A,avm,evet,13,28
T0338,Sube_B,avm,hayir,14,22
T0339,Sube_A,sanayi,evet,13,10
T0340,Sube_A,sanayi,evet,15,13
T0341,Sube_B,avm,hayir,14,38
T0342,Sube_A,avm,evet,8,31
T0343,Sube_B,sanayi,hayir,11,14
T0344,Sube_A,sanayi,hayir,11,14
T0345,Sube_B,sanayi,evet,10,8
T0346,Sube_A,sanayi,evet,14,8
T0347,Sube_A,sanayi,evet,10,8
T0348,Sube_A,sanayi,evet,15,19
T0349,Sube_A,sanayi,hayir,11,12
T0350,Sube_A,sanayi,evet,10,16
T0351,Sube_A,sanayi,hayir,9,9
T0352,Sube_A,sanayi,hayir,13,16
T0353,Sube_A,avm,evet,10,21
T0354,Sube_B,avm,hayir,9,26
T0355,Sube_B,avm,evet,13,37
T0356,Sube_A,sanayi,hayir,9,14
T0357,Sube_B,avm,evet,10,26
T0358,Sube_A,sanayi,hayir,12,17
T0359,Sube_A,sanayi,evet,10,8
T0360,Sube_A,sanayi,hayir,8,16
T0361,Sube_A,sanayi,evet,8,18
T0362,Sube_B,avm,evet,11,22
T0363,Sube_B,avm,evet,8,33
T0364,Sube_A,avm,evet,13,26
T0365,Sube_B,avm,evet,10,35
T0366,Sube_B,avm,evet,10,37
T0367,Sube_B,avm,evet,12,21
T0368,Sube_A,sanayi,evet,12,18
T0369,Sube_A,sanayi,hayir,12,15
T0370,Sube_B,avm,evet,13,26
T0371,Sube_A,sanayi,hayir,14,18
T0372,Sube_A,sanayi,hayir,13,11
T0373,Sube_B,avm,evet,8,30
T0374,Sube_B,avm,evet,15,22
T0375,Sube_B,avm,evet,8,40
T0376,Sube_A,sanayi,evet,13,11
T0377,Sube_B,avm,evet,15,24
T0378,Sube_A,sanayi,hayir,8,8
T0379,Sube_A,sanayi,hayir,12,10
T0380,Sube_B,avm,evet,9,21
T0381,Sube_A,sanayi,evet,8,18
T0382,Sube_A,sanayi,hayir,15,15
T0383,Sube_B,sanayi,hayir,12,13
T0384,Sube_A,avm,evet,9,21
T0385,Sube_A,sanayi,evet,11,18
T0386,Sube_A,sanayi,evet,12,8
T0387,Sube_A,sanayi,hayir,15,10
T0388,Sube_B,avm,evet,10,35
T0389,Sube_B,avm,hayir,13,36
T0390,Sube_A,sanayi,evet,12,13
T0391,Sube_A,sanayi,evet,14,14
T0392,Sube_B,avm,evet,14,30
T0393,Sube_B,avm,evet,14,34
T0394,Sube_A,sanayi,evet,10,8
T0395,Sube_B,sanayi,hayir,15,18
T0396,Sube_B,avm,evet,15,26
T0397,Sube_B,avm,evet,13,25
T0398,Sube_B,sanayi,hayir,15,15
T0399,Sube_A,avm,evet,15,28
T0400,Sube_A,avm,evet,15,36
T0401,Sube_B,avm,evet,15,36
T0402,Sube_B,avm,evet,14,26
T0403,Sube_B,avm,evet,10,24
T0404,Sube_B,avm,evet,8,27
T0405,Sube_B,avm,evet,14,34
T0406,Sube_A,sanayi,evet,9,12
T0407,Sube_A,sanayi,evet,9,13
T0408,Sube_B,sanayi,evet,10,9
T0409,Sube_B,avm,evet,13,31
T0410,Sube_A,sanayi,hayir,8,13
T0411,Sube_B,avm,hayir,10,32
T0412,Sube_A,sanayi,hayir,8,9
T0413,Sube_B,avm,evet,14,21
T0414,Sube_A,sanayi,hayir,8,17
T0415,Sube_A,sanayi,evet,12,11
T0416,Sube_A,sanayi,evet,11,17
T0417,Sube_A,sanayi,hayir,9,14
T0418,Sube_A,sanayi,hayir,9,12
T0419,Sube_A,sanayi,hayir,13,20
T0420,Sube_B,avm,evet,8,37
T0421,Sube_B,avm,hayir,13,31
T0422,Sube_A,sanayi,hayir,15,18
T0423,Sube_A,avm,evet,10,21
T0424,Sube_B,avm,evet,10,39
T0425,Sube_A,sanayi,evet,8,16
T0426,Sube_A,sanayi,evet,8,14
T0427,Sube_B,avm,evet,9,20
T0428,Sube_B,avm,evet,13,34
T0429,Sube_A,avm,evet,13,39
T0430,Sube_A,avm,evet,15,37
T0431,Sube_A,sanayi,hayir,14,20
T0432,Sube_B,avm,evet,13,40
T0433,Sube_B,avm,evet,14,39
T0434,Sube_B,avm,evet,13,20
T0435,Sube_B,avm,evet,8,30
T0436,Sube_A,sanayi,hayir,14,9
T0437,Sube_A,sanayi,evet,12,12
T0438,Sube_B,avm,evet,10,34
T0439,Sube_B,sanayi,evet,8,9
T0440,Sube_B,avm,evet,15,36
T0441,Sube_A,sanayi,evet,12,13
T0442,Sube_A,avm,evet,11,20
T0443,Sube_A,sanayi,evet,15,20
T0444,Sube_B,avm,evet,8,30
T0445,Sube_B,sanayi,evet,9,15
T0446,Sube_A,sanayi,evet,9,15
T0447,Sube_A,sanayi,evet,11,15
T0448,Sube_A,sanayi,hayir,14,20
T0449,Sube_B,avm,evet,15,27
T0450,Sube_B,avm,evet,15,34
T0451,Sube_A,sanayi,hayir,15,14
T0452,Sube_A,sanayi,hayir,13,9
T0453,Sube_A,avm,evet,8,36
T0454,Sube_A,sanayi,hayir,12,20
T0455,Sube_A,sanayi,evet,15,19
T0456,Sube_A,sanayi,hayir,10,16
T0457,Sube_A,sanayi,evet,9,15
T0458,Sube_A,avm,evet,10,28
T0459,Sube_A,sanayi,hayir,15,15
T0460,Sube_B,avm,evet,13,30
T0461,Sube_B,avm,evet,13,22
T0462,Sube_A,sanayi,evet,12,10
T0463,Sube_A,avm,evet,11,24
T0464,Sube_B,avm,evet,12,32
T0465,Sube_B,avm,evet,11,38
T0466,Sube_B,avm,evet,14,39
T0467,Sube_A,sanayi,evet,10,17
T0468,Sube_A,sanayi,evet,11,19
T0469,Sube_B,avm,evet,12,35
T0470,Sube_B,avm,evet,11,24
T0471,Sube_B,sanayi,hayir,11,8
T0472,Sube_B,avm,evet,13,34
T0473,Sube_B,avm,evet,13,39
T0474,Sube_B,avm,evet,8,36
T0475,Sube_B,avm,evet,8,31
T0476,Sube_A,avm,evet,11,31
T0477,Sube_A,sanayi,hayir,13,9
T0478,Sube_B,avm,evet,10,31
T0479,Sube_A,sanayi,hayir,12,11
T0480,Sube_B,avm,evet,12,39
T0481,Sube_B,avm,evet,10,34
T0482,Sube_B,avm,evet,11,36
T0483,Sube_B,avm,evet,10,34
T0484,Sube_B,avm,evet,13,28
T0485,Sube_A,avm,hayir,8,25
T0486,Sube_A,avm,evet,9,36
T0487,Sube_A,sanayi,evet,11,12
T0488,Sube_B,avm,evet,13,35
T0489,Sube_B,avm,evet,13,40
T0490,Sube_B,sanayi,hayir,13,18
T0491,Sube_B,avm,evet,15,37
T0492,Sube_B,avm,evet,12,39
T0493,Sube_A,avm,evet,13,24
T0494,Sube_A,avm,evet,13,30
T0495,Sube_A,sanayi,hayir,11,18
T0496,Sube_B,sanayi,hayir,12,13
T0497,Sube_B,avm,hayir,14,32
T0498,Sube_B,avm,evet,14,32
T0499,Sube_A,sanayi,evet,9,11
T0500,Sube_A,sanayi,hayir,13,14
T0501,Sube_A,sanayi,evet,15,10
T0502,Sube_B,sanayi,hayir,9,20
T0503,Sube_B,sanayi,hayir,10,9
T0504,Sube_B,avm,evet,15,38
T0505,Sube_B,avm,evet,10,22
T0506,Sube_B,avm,evet,12,35
T0507,Sube_B,avm,hayir,10,29
T0508,Sube_A,sanayi,evet,15,11
T0509,Sube_B,avm,evet,14,20
T0510,Sube_B,avm,evet,15,20
T0511,Sube_B,avm,hayir,15,39
T0512,Sube_A,sanayi,evet,9,14
T0513,Sube_A,sanayi,hayir,14,17
T0514,Sube_B,avm,evet,11,23
T0515,Sube_A,sanayi,hayir,13,11
T0516,Sube_A,sanayi,evet,8,8
T0517,Sube_A,sanayi,evet,15,8
T0518,Sube_A,sanayi,hayir,13,9
T0519,Sube_A,sanayi,hayir,14,13
T0520,Sube_A,sanayi,hayir,10,17
T0521,Sube_A,sanayi,evet,9,16
T0522,Sube_A,avm,evet,15,21
T0523,Sube_A,avm,evet,13,32
T0524,Sube_A,sanayi,evet,13,8
T0525,Sube_A,avm,evet,15,25
T0526,Sube_B,avm,evet,8,30
T0527,Sube_A,avm,evet,12,34
T0528,Sube_B,avm,evet,13,24
T0529,Sube_A,sanayi,evet,13,19
T0530,Sube_B,avm,hayir,14,32
T0531,Sube_A,sanayi,evet,9,18
T0532,Sube_B,avm,evet,13,29
T0533,Sube_A,avm,evet,8,26
T0534,Sube_B,avm,evet,9,23
T0535,Sube_A,avm,evet,13,21
T0536,Sube_A,sanayi,hayir,15,20
T0537,Sube_B,avm,hayir,13,26
T0538,Sube_A,sanayi,hayir,12,10
T0539,Sube_A,sanayi,hayir,8,12
T0540,Sube_B,avm,evet,15,21
T0541,Sube_B,avm,evet,9,25
T0542,Sube_B,avm,evet,13,24
T0543,Sube_B,avm,evet,11,38
T0544,Sube_B,avm,hayir,12,31
T0545,Sube_A,sanayi,evet,11,18
T0546,Sube_A,sanayi,evet,15,8
T0547,Sube_A,sanayi,hayir,13,8
T0548,Sube_B,avm,evet,13,38
T0549,Sube_A,sanayi,hayir,9,17
T0550,Sube_B,sanayi,hayir,9,14
T0551,Sube_A,avm,evet,9,35
T0552,Sube_A,avm,evet,14,31
T0553,Sube_A,sanayi,hayir,11,9
T0554,Sube_A,sanayi,hayir,10,8
T0555,Sube_A,avm,evet,11,35
T0556,Sube_B,avm,evet,8,40
T0557,Sube_A,avm,evet,12,35
T0558,Sube_A,sanayi,evet,8,8
T0559,Sube_A,sanayi,evet,8,20
T0560,Sube_B,sanayi,evet,14,15
T0561,Sube_A,sanayi,evet,15,14
T0562,Sube_A,sanayi,evet,8,9
T0563,Sube_B,avm,evet,8,24
T0564,Sube_A,sanayi,hayir,14,11
T0565,Sube_B,avm,evet,8,36
T0566,Sube_A,sanayi,evet,14,11
T0567,Sube_B,sanayi,evet,12,20
T0568,Sube_B,avm,evet,14,35
T0569,Sube_B,sanayi,evet,11,17
T0570,Sube_A,sanayi,evet,9,13
T0571,Sube_A,sanayi,hayir,10,11
T0572,Sube_B,sanayi,hayir,14,15
T0573,Sube_A,sanayi,evet,13,17
T0574,Sube_B,avm,hayir,9,27
T0575,Sube_B,avm,evet,9,31
T0576,Sube_A,avm,evet,11,32
T0577,Sube_B,sanayi,hayir,13,9
T0578,Sube_B,sanayi,hayir,10,19
T0579,Sube_A,sanayi,evet,12,11
T0580,Sube_A,sanayi,hayir,14,13
T0581,Sube_B,sanayi,hayir,11,9
T0582,Sube_A,sanayi,evet,10,19
T0583,Sube_A,sanayi,hayir,8,13
T0584,Sube_B,avm,evet,10,36
T0585,Sube_B,avm,evet,14,29
T0586,Sube_B,avm,evet,10,38
T0587,Sube_A,avm,evet,15,39
T0588,Sube_A,sanayi,hayir,11,18
T0589,Sube_B,avm,evet,14,25
T0590,Sube_B,sanayi,hayir,15,19
T0591,Sube_A,sanayi,evet,11,17
T0592,Sube_A,sanayi,hayir,13,12
T0593,Sube_B,avm,evet,12,23
T0594,Sube_B,avm,evet,13,33
T0595,Sube_B,sanayi,hayir,11,20
T0596,Sube_B,avm,evet,12,33
T0597,Sube_B,avm,evet,12,27
T0598,Sube_B,avm,evet,12,40
T0599,Sube_A,avm,hayir,10,32
T0600,Sube_B,avm,evet,11,32
T0601,Sube_A,avm,evet,15,28
T0602,Sube_B,avm,evet,13,40
T0603,Sube_A,sanayi,evet,9,13
T0604,Sube_A,sanayi,hayir,10,14
T0605,Sube_A,avm,evet,11,40
T0606,Sube_B,sanayi,hayir,9,8
T0607,Sube_B,avm,hayir,15,33
T0608,Sube_A,sanayi,hayir,9,19
T0609,Sube_B,avm,evet,8,26
T0610,Sube_A,sanayi,hayir,10,12
T0611,Sube_A,avm,evet,12,20
T0612,Sube_B,avm,evet,9,38
T0613,Sube_A,avm,hayir,8,22
T0614,Sube_B,avm,evet,10,30
T0615,Sube_A,sanayi,evet,15,16
T0616,Sube_B,avm,evet,8,35
T0617,Sube_B,sanayi,hayir,8,19
T0618,Sube_B,avm,evet,10,37
T0619,Sube_A,sanayi,evet,9,17
T0620,Sube_B,avm,evet,12,36
T0621,Sube_A,sanayi,evet,13,12
T0622,Sube_B,avm,evet,13,26
T0623,Sube_B,avm,evet,8,40
T0624,Sube_A,avm,hayir,12,28
T0625,Sube_A,sanayi,hayir,11,11
T0626,Sube_B,avm,evet,12,37
T0627,Sube_B,avm,evet,14,36
T0628,Sube_A,sanayi,evet,13,10
T0629,Sube_A,sanayi,hayir,10,8
T0630,Sube_B,avm,evet,8,29
T0631,Sube_B,avm,evet,10,27
T0632,Sube_B,sanayi,hayir,15,18
T0633,Sube_A,sanayi,evet,10,14
T0634,Sube_B,avm,hayir,11,30
T0635,Sube_A,sanayi,evet,9,19
T0636,Sube_A,avm,evet,9,33
T0637,Sube_B,avm,hayir,11,35
T0638,Sube_A,sanayi,hayir,11,13
T0639,Sube_A,sanayi,hayir,15,20
T0640,Sube_A,sanayi,hayir,10,12
T0641,Sube_B,avm,evet,14,38
T0642,Sube_B,avm,evet,8,26
T0643,Sube_B,avm,evet,15,25
T0644,Sube_B,avm,evet,9,25
T0645,Sube_B,avm,evet,10,32
T0646,Sube_A,sanayi,hayir,14,17
T0647,Sube_A,sanayi,hayir,12,11
T0648,Sube_B,avm,evet,8,33
T0649,Sube_B,avm,evet,13,24
T0650,Sube_B,avm,evet,10,30
T0651,Sube_B,avm,hayir,14,35
